CustomerID,Total_Spend,Orders,Quantity,Last_Date,Recency,Avg_Basket,Cluster,Anomaly
12346.0,77183.6,1,74215,18-01-2011 10:01,325,74215.0,2,-1
12747.0,4196.01,11,1275,28-06-2011 10:06,164,115.9090909090909,0,1
12748.0,33053.19,209,25287,31-07-2011 15:04,130,120.99043062200957,3,-1
12749.0,4090.88,5,1471,17-11-2011 12:05,22,294.2,0,1
12820.0,942.34,4,722,26-10-2011 13:27,43,180.5,0,1
12821.0,92.72,1,70,09-05-2011 15:51,213,70.0,1,1
12822.0,948.88,2,550,30-09-2011 10:04,70,275.0,0,1
12823.0,1759.5,5,230,30-03-2011 10:36,254,46.0,1,1
12824.0,397.12,1,232,11-10-2011 12:49,59,232.0,0,1
12826.0,1474.72,7,1058,29-09-2011 10:55,71,151.14285714285714,0,1
12827.0,430.15000000000003,3,197,26-10-2011 15:44,43,65.66666666666667,0,1
12828.0,1018.71,6,494,19-08-2011 09:23,112,82.33333333333333,0,1
12829.0,293.0,2,376,14-12-2010 14:54,359,188.0,1,1
12830.0,6814.64,6,9848,28-07-2011 17:18,133,1641.3333333333333,0,1
12831.0,215.05,1,135,22-03-2011 13:02,261,135.0,1,1
12832.0,383.03,2,195,07-11-2011 13:30,31,97.5,0,1
12833.0,417.38,1,156,17-07-2011 13:46,144,156.0,0,1
12834.0,312.38,1,110,02-03-2011 09:49,282,110.0,1,1
12836.0,2610.36,4,1062,25-07-2011 15:22,136,265.5,0,1
12837.0,134.1,1,24,19-06-2011 16:07,172,24.0,1,1
12838.0,671.95,2,355,06-11-2011 12:20,33,177.5,0,1
12839.0,5591.42,14,3807,29-09-2011 12:39,71,271.92857142857144,0,1
12840.0,2726.77,4,1511,27-04-2011 12:21,226,377.75,1,1
12841.0,3991.58,25,2720,31-01-2011 10:09,312,108.8,1,1
12842.0,1118.99,2,547,30-09-2011 15:33,69,273.5,0,1
12843.0,1702.26,8,781,24-06-2011 15:59,167,97.625,1,1
12844.0,325.96000000000004,2,125,10-11-2011 13:31,28,62.5,0,1
12845.0,354.09,4,204,22-02-2011 14:10,289,51.0,1,1
12847.0,843.64,1,873,17-11-2011 13:16,21,873.0,0,1
12849.0,1010.29,2,597,16-03-2011 12:26,268,298.5,1,1
12851.0,131.81,1,106,04-09-2011 12:41,96,106.0,0,1
12852.0,311.55,1,149,18-02-2011 08:47,294,149.0,1,1
12853.0,1957.1000000000001,6,800,28-07-2011 11:29,134,133.33333333333334,0,1
12854.0,1316.25,3,626,25-01-2011 13:35,317,208.66666666666666,1,1
12855.0,38.1,1,30,02-12-2010 09:37,372,30.0,1,1
12856.0,2170.78,6,1076,31-10-2011 13:11,38,179.33333333333334,0,1
12857.0,1106.4,2,343,13-05-2011 10:20,210,171.5,1,1
12863.0,521.2,1,188,18-10-2011 14:15,51,188.0,0,1
12864.0,147.12,1,216,24-07-2011 13:03,137,216.0,0,1
12867.0,4009.34,7,4284,27-06-2011 15:04,164,612.0,0,1
12868.0,1607.0600000000002,6,928,27-01-2011 14:46,315,154.66666666666666,1,1
12871.0,380.64,2,200,16-09-2011 15:07,83,100.0,0,1
12872.0,599.97,2,319,17-01-2011 10:52,326,159.5,1,1
12873.0,374.0,1,128,02-03-2011 14:58,281,128.0,1,1
12875.0,343.2300000000001,2,2019,19-07-2011 15:30,142,1009.5,0,1
12877.0,1535.77,12,1178,27-03-2011 16:03,256,98.16666666666667,1,1
12878.0,854.99,2,547,18-03-2011 14:02,265,273.5,1,1
12879.0,573.22,3,370,26-10-2011 12:24,44,123.33333333333333,0,1
12881.0,298.0,1,21,09-03-2011 11:44,275,21.0,1,1
12882.0,1463.04,2,246,30-11-2011 16:18,8,123.0,0,1
12883.0,703.47,4,196,15-11-2011 09:32,24,49.0,0,1
12884.0,309.05,1,43,12-09-2011 13:10,87,43.0,0,1
12885.0,1175.22,3,655,08-08-2011 11:45,123,218.33333333333334,0,1
12886.0,1378.4,2,770,04-05-2011 11:21,219,385.0,1,1
12888.0,354.12,2,76,29-03-2011 14:31,254,38.0,1,1
